Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
xuiOptionsVideoBrightnessTooltip2,UI,Xui Video Options,x,,How bright the game is.,,Wie hell das Spiel ist.,Brillo del juego.,La luminosité du jeu.,La luminosità del gioco.,ゲームの明るさです。,게임 화면의 밝기입니다.,Określa jasność w grze.,Regula o brilho do jogo.,Яркость игры.,Oyunun parlaklığı.,游戏的明亮度。,遊戲的明亮程度。,Brillo del juego.
xuiOptionsVideoFieldOfViewTooltip2,UI,Xui Video Options,x,,How wide your view angle is.\nPerformance Impact: [2B7C12]Low[-]\n,,Weite deines Blickwinkels.\nAuswirkung auf die Leistung: [2B7C12]Niedrig[-]\n,Cómo de amplio es el ángulo de visión.\nImpacto sobre el rendimiento: [2B7C12]Baja[-]\n,Modifie la largeur de votre angle de vision.\nImpact sur la performance : [2B7C12]faible[-]\n,Quanto è ampia la tua visuale.\nImpatto sulle prestazione: [2B7C12]Basso[-]\n,視野角度を設定します。\nパフォーマンスへの影響：[2B7C12]低[-]\n,시야각의 넓이입니다.\n성능 영향: [2B7C12]낮음[-]\n,Określa szerokość kąta widzenia.\nWpływ na wydajność: [2B7C12]Niskie[-]\n,Amplitude do ângulo de visão.\nImpacto no desempenho: [2B7C12]Baixo[-]\n,Ширина угла обзора.\nВлияние на производительность: [2B7C12]низкое[-]\n,Görüş açının genişliğini belirtir.\nPerformansa Etkisi: [2B7C12]Düşük[-]\n,你的可视角度范围。\n性能影响：[2B7C12]低[-]\n,你的視角寬度。\n性能影響：[2B7C12]低[-]\n,Cómo de amplio es el ángulo de visión.\nImpacto sobre el rendimiento: [2B7C12]Baja[-]\n

Video Options, Quality Settings
xuiOptionsVideoQualityPresetTooltip2,UI,Xui Video Options,x,,Overall Graphics Quality. Changes almost all settings.\nPerformance Impact: [FF0000]Very High[-]\n,,Gesamte Grafikqualität.  Verändert fast alle Einstellungen. \nAuswirkung auf die Leistung: [FF0000]Sehr hoch[-]\n,Calidad general de gráficos.  Cambia casi todos los parámetros. \nImpacto sobre el rendimiento: [FF0000]Muy alto[-]\n,Qualité générale des graphismes.  Modifie pratiquement tous les paramètres. \nImpact sur la performance : [FF0000]très élevé[-]\n,Qualità grafica generale.  Cambia tutte le impostazioni. \nImpatto sulle prestazioni: [FF0000]Molto alto[-]\n,全体的なグラフィッククオリティーほぼすべての設定を変更します。\nパフォーマンスへの影響：[FF0000]極めて高[-]\n,전체적인 그래픽 품질.  거의 모든 설정을 변경합니다. \n성능 영향: [FF0000]매우 높음[-]\n,Ogólna jakość grafiki.  Zmienia niemal wszystkie ustawienia. \nWpływ na wydajność: [FF0000]Bardzo wysokie[-]\n,Qualidade geral dos gráficos.  Altera quase todas as configurações. \nImpacto no desempenho: [FF0000]Muito alto[-]\n,Общее качество графики.  Меняет почти все настройки. \nВлияние на производительность: [FF0000]очень высокое[-]\n,Genel Grafik Kalitesi.  Neredeyse tüm ayarları değiştirir. \nPerformansa Etkisi: [FF0000]Çok Yüksek[-]\n,全局画面品质，会改变几乎所有的设置。\n性能影响：[FF0000]非常高[-]\n,整體圖像質量。改變幾乎所有設置。\n性能影響：[FF0000]極高[-]\n,Calidad general de gráficos.  Cambia casi todos los parámetros. \nImpacto sobre el rendimiento: [FF0000]Muy alto[-]\n
xuiOptionsVideoAntiAliasingTooltip2,UI,Xui Video Options,x,,Removes jagged edges from objects. Temporal is a more advanced effect.\nPerformance Impact: [FF9018]Medium[-],,Glättet gezackte Kanten der Objekte.\nTemporal ist ein fortgeschrittener Effekt.\nAuswirkung auf die Leistung: [FF9018]Mittel[-]\n,Elimina los bordes dentados de los objetos.\nEl temporal es un efecto más avanzado.\nImpacto sobre el rendimiento: [FF9018]Medio[-],Lisse les bords irréguliers des éléments.\nTemporel est un effet plus avancé.\nImpact sur la performance : [FF9018]moyen[-],Rimuove i bordi frastagliati dagli oggetti.\nTemporale è un effetto più avanzato.\nImpatto sulle prestazioni: [FF9018]Medio[-],オブジェクトの縁取りを滑らかにします。\n一時的なものはより上級の効果です。\nパフォーマンスへの影響：[FF9018]中[-],오브젝트의 들쭉날쭉한 가장자리를 제거합니다.\n템포럴은 고급 효과입니다.\n성능 영향: [FF9018]중간[-],Wygładza krawędzie obiektu.\n„Temporalny” to efekt zaawansowany.\nWpływ na wydajność: [FF9018]Średni[-]\n,Remove as bordas irregulares do objeto.\nTemporal é um efeito mais avançado.\nImpacto no desempenho: [FF9018]médio[-],Удаляет неровные края объектов.\nВременное сглаживание (TAA) — более совершенная технология.\nВлияние на производительность: [FF9018]среднее[-]\n,Nesnelerin çentikli kenarlarını kaldırır.\nGeçici AA daha gelişmiş bir efekttir.\nPerformansa Etkisi: [FF9018]Orta[-],移除物体边缘的锯齿。\n时间是更高级的效果。\n性能影响：[FF9018]中等[-],消除物件的鋸齒邊緣。\n時間消除鋸齒 (Temporal Anti-Aliasing) 是更進階的效果。\n性能影響：[FF9018]中等[-],Elimina los bordes dentados de los objetos.\nEl temporal es un efecto más avanzado.\nImpacto sobre el rendimiento: [FF9018]Medio[-]
xuiOptionsVideoAntiAliasingSharpTooltip2,UI,Xui Video Options,x,,Amount of sharpening by temporal AA,,Grad der Schärfung durch temporales AA,Cantidad de enfoque realizado por el suavizado temporal,Niveau d'affinage par AA temporel,Totale affilatura tramite AA temporale,一時的なAAによる鮮明化の量,템포럴 AA 샤프닝의 강도입니다,Wartość zaostrzenia temporalnym AA,Quantidade de nitidez por suavização temporal,Уровень повышения четкости TAA,Geçici AA keskinleştirme miktarı,时间抗锯齿的锐化量,透過時間消除鋸齒 (Temporal Anti-Aliasing) 的銳利化量,Cantidad de enfoque realizado por el suavizado temporal
xuiOptionsVideoTextureQualityTooltip2,UI,Xui Video Options,x,,Saves video memory and performance by setting the texture resolution.\nPerformance Impact: [FF9018]Medium[-] to [FF0000]High[-]\n,,Mit den Einstellungen der Texturauflösung können Bildspeicher und Leistung beeinflusst werden.\nAuswirkung auf die Leistung: [FF9018]Mittel[-] bis [FF0000]Hoch[-]\n,Ahorra memoria de video y rendimiento mediante la configuración de la resolución de la textura.\nImpacto sobre el rendimiento: [FF9018]Medio[-] a [FF0000]Alto[-].\n,Économise de la mémoire vidéo et préserve les performances en paramétrant la résolution des textures.\nImpact sur les performances : [FF9018]moyen[-] à [FF0000]élevé[-]\n,Risparmia sulle prestazioni e sulla memoria video impostando la risoluzione delle texture.\nImpatto sulle prestazioni: Da [FF9018]Medio[-] a [FF0000]alto[-]\n,テクスチャ解像度を設定してビデオメモリとパフォーマンスの節約を行います。\nパフォーマンスへの影響：中から高\n,텍스처 해상도를 설정하여 영상 메모리와 성능을 절약합니다.\n성능 영향: 보통에서 높음\n,"Zapisuje pamięć wideo i wydajność, konfigurując rozdzielczość tekstur.\nWpływ na wydajność: [FF9018]średni[-]–[FF0000]wysoki[-]\n",Define a resolução da textura para poupar a memória de vídeo e o desempenho.\nImpacto no desempenho: [FF9018]médio[-] a [FF0000]alto[-]\n,"Сохраняет видеопамять и производительность, устанавливая разрешение текстур.\nВлияние на производительность: от [FF9018]среднего[-] до [FF0000]сильного[-]\n",Doku çözünürlüğünü belirleyerek video belleği ve performansı için tasarruf sağlar.\nPerformansa Etkisi: [FF9018]Orta[-] ila [FF0000]Yüksek[-]\n,通过设置纹理分辨率来节省显卡内存和性能。\n性能影响：中高\n,透過設定紋理解析度來節省顯存、優化效能。\n效能影響：中高\n,Ahorra memoria de video y rendimiento mediante la configuración de la resolución de la textura.\nImpacto sobre el rendimiento: [FF9018]Medio[-] a [FF0000]Alto[-].\n
xuiOptionsVideoTextureFilterTooltip2,UI,Xui Video Options,x,,Sets the filter strength to make nicer blending.\nPerformance Impact: [FF9018]Medium[-] to [FF0000]High[-]\n,,Steuert die Filterstärke für sanftere Übergänge.\nAuswirkung auf die Leistung: [FF9018]Mittel[-] bis [FF0000]Hoch[-]\n,Establece la fuerza del filtro para hacer una fusión más agradable.\nImpacto sobre el rendimiento: [FF9018]Medio[-] a [FF0000]Alto[-]\n,Définit la puissance du filtre pour offrir une meilleure fusion.\nImpact sur la performance : [FF9018]moyen[-] à [FF0000]élevée[-]\n,Imposta la forza del filtro per rendere la miscelazione più gradevole.\nImpatto sulle prestazioni: Da [FF9018]Medio[-] a [FF0000]alto[-]\n,うまくブレンドするためのフィルター強度を設定します。\nパフォーマンスへの影響：中から高\n,더 좋게 블렌딩할 수 있는 필터 강도를 설정합니다.\n성능 영향: 중간~높음\n,Konfiguruje siłę filtra w celu zwiększenia spójności.\nWpływ na wydajność: [FF9018]Średnie[-]–[FF0000]wysokie[-]\n,Define o nível do filtro para mesclar melhor.\nImpacto no desempenho: [FF9018]Médio[-] a [FF0000]alto[-]\n,Устанавливает интенсивность фильтра для лучшего смешивания.\nВлияние на производительность: от [FF9018]среднего[-] к [FF0000]сильному[-]\n,Daha iyi bir görüntü oluşturmak için filtre gücünü belirler.\nPerformansa Etkisi: [FF9018]Orta[-] ila [FF0000]Yüksek[-]\n,设置纹理过滤强度让混合更加自然。\n性能影响：中到高\n,設置過濾強度以進行更好的混合。\n性能影響：中高\n,Establece la fuerza del filtro para hacer una fusión más agradable.\nImpacto sobre el rendimiento: [FF9018]Medio[-] a [FF0000]Alto[-]\n
xuiOptionsVideoUMATextureQualityTooltip2,UI,Xui Video Options,x,,Controls the texture baking size of UMA characters.,,Steuert die Größe beim Zusammenfügen von Texturen für UMA-Charaktere,Controla el tamaño del horneado de texturas de los personajes UMA.,Contrôle la taille du transfert de texture des personnages UMA.,Controlla la dimensione della texture dei personaggi UMA.,UMAキャラクターのテクスチャベイク処理サイズを制御します。,UMA 캐릭터의 텍스처 베이킹을 조정합니다.,Kontroluje rozmiar nanoszenia tekstur postaci UMA.,Controla o tamanho do cozimento das texturas de personagens de unidade de avatar multipropósito.,Управляет масштабом переноса деталей модели персонажа.,UMA karakterlerinin doku oluşturulma boyutunu kontrol eder.,控制UMA角色的纹理贴图尺寸。,控制 UMA 特性的紋理烘焙大小,Controla el tamaño del horneado de texturas de los personajes UMA.

xuiOptionsVideoReflectionQualityTooltip2,UI,Xui Video Options,x,,How clear reflections are. Provides more realistic lighting.\nPerformance Impact: [FF0000]Very High[-]\n,,"Bestimmt, wie deutlich Reflexionen sind. Bietet realistischere Beleuchtung.\nAuswirkung auf die Leistung: [FF0000]Sehr hoch[-]\n",Claridad en las reflexiones. Proporciona una iluminación más realista.\nImpacto sobre el rendimiento: [FF0000]Muy Alto[-]\n,Définit la clarté des reflets. Offre un éclairage plus réaliste.\nImpact sur la performance : [FF0000]très élevée[-]\n,Quanto sono nitidi i riflessi. Fornisce un'illuminazione più realistica.\nImpatto sulle prestazioni: [FF0000]Molto Alto[-]\n,反射光の明確さです。より現実的な光の当たり方を演出します。\nパフォーマンスへの影響：[FF0000]極めて高[-]\n,반사된 모습이 얼마나 명확한지를 나타냅니다. 더 현실적인 조명을 만들어냅니다.\n성능 영향: [FF0000]매우 높음[-]\n,"Określa, jak przejrzyste są odbicia. Funkcja zwiększa realizm oświetlenia.\nWpływ na wydajność: [FF0000]Bardzo wysokie[-]\n",Como os reflexos claros são. Apresenta uma iluminação mais realista.\nImpacto no desempenho: [FF0000]Muito alto[-]\n,Четкость отражения. Обеспечивает более реалистичное освещение.\nВлияние на производительность: [FF0000]очень высокое[-]\n,Yansımaların netliğini belirtir. Daha gerçekçi aydınlatma sağlar.\nPerformansa Etkisi: [FF0000]Çok Yüksek[-]\n,反射的清晰度水平，提供更加真实的光照。\n性能影响：[FF0000]非常高[-]\n,反射清晰度。提供更真實的照明。\n性能影響：[FF0000]極高[-]\n,Claridad en las reflexiones. Proporciona una iluminación más realista.\nImpacto sobre el rendimiento: [FF0000]Muy alto[-]\n
xuiOptionsVideoReflectedShadowsTooltip2,UI,Xui Video Options,x,,Shadows are processed and displayed inside reflections.\nPerformance Impact: [FF0000]High[-]\n,,Schatten werden verarbeitet und in Reflexionen dargestellt.\nAuswirkung auf die Leistung: [FF0000]Hoch[-]\n,Las sombras se procesan y se muestran dentro de los reflejos.\nImpacto sobre el rendimiento: [FF0000]Alto[-]\n,Les ombres sont prises en charge et affichées dans les reflets.\nImpact sur la performance : [FF0000]élevée[-]\n,Le ombre vengono processate e mostrate dentro i riflessi.\nImpatto sulle prestazioni: [FF0000]Alto[-]\n,影が反射光の中で処理され、表示されます。\nパフォーマンスへの影響：[FF0000]高[-]\n,그림자가 처리되고 내부 반사를 표시합니다.\n성능 영향: [FF0000]높음[-]\n,Cienie są przetwarzane i wyświetlane wewnątrz odbić.\nWpływ na wydajność: [FF0000]Wysokie[-]\n,As sombras são processadas e exibidas dentro dos reflexos.\nImpacto no desempenho: [FF0000]Alto[-]\n,Тени воспроизводятся и отображаются в отражениях.\nВлияние на производительность: [FF0000]высокое[-]\n,Yansımalar içinde gölgeler işlenir ve görüntülenir.\nPerformansa Etkisi: [FF0000]Yüksek[-]\n,阴影经过内部反射处理和显示。\n性能影响：[FF0000]高[-]\n,在反射內處理和顯示陰影。\n性能影響：[FF0000]高[-]\n,Las sombras se procesan y se muestran dentro de los reflejos.\nImpacto sobre el rendimiento: [FF0000]Alto[-]\n
xuiOptionsVideoShadowsDistanceTooltip2,UI,Xui Video Options,x,,Quality and distance of object shadows.\nPerformance Impact: [FF0000]High[-]\n,,Qualität und Entfernung der Schatten von Objekten.\nAuswirkung auf die Leistung: [FF0000]Hoch[-]\n,Calidad y distancia de las sombras de objetos.\nImpacto sobre el rendimiento: [FF0000]Alto[-]\n,Définit la qualité et la distance des ombres des objets.\nImpact sur la performance : [FF0000]élevée[-]\n,Qualità e distanza delle ombre degli oggetti.\nImpatto sulle prestazioni: [FF0000]Alto[-]\n,オブジェクトの影のクオリティーと距離です。\nパフォーマンスへの影響:[FF0000]高[-]\n,물체 그림자의 품질과 거리.\n성능 영향: [FF0000]높음[-]\n,Jakość i dystans cieni obiektów.\nWpływ na wydajność: [FF0000]Wysokie[-]\n,Qualidade e distância das sombras dos objetos.\nImpacto no desempenho: [FF0000]Alto[-]\n,"Расстояние, на котором будут появляться видимые тени, и их качество.\nВлияние на производительность: [FF0000]высокое[-]\n",Nesne gölgelerinin kalitesini ve uzaklığını belirtir.\nPerformansa Etkisi: [FF0000]Yüksek[-]\n,物体阴影的质量和距离。\n性能影响：[FF0000]高[-]\n,物體陰影的質量和距離\n性能影響：[FF0000]高[-]\n,Calidad y distancia de las sombras de objetos.\nImpacto sobre el rendimiento: [FF0000]Alto[-]\n
xuiOptionsVideoWaterQualityTooltip2,UI,Xui Video Options,x,,Layers and effects occurring on surface of water planes.\nPerformance Impact: [2B7C12]Low[-]\n,,Schichten und Effekte auf der Oberfläche von Gewässern.\nAuswirkung auf die Leistung: [2B7C12]Niedrig[-]\n,Capas y efectos que se producen en la superficie de los planos de agua.\nImpacto sobre el rendimiento: [2B7C12]Baja[-]\n,Les couches et les effets ayant lieu sur les plans d'eau.\nImpact sur la performance : [2B7C12]faible[-]\n,Layer e effetti sulle superfici d'acqua.\nImpatto sulle prestazioni: [2B7C12]Basso[-]\n,水線面の表面に発生するレイヤーとエフェクトです。\nパフォーマンスへの影響：[2B7C12]低[-]\n,수면에 나타나는 레이어와 효과.\n성능 영향: [2B7C12]낮음[-]\n,Warstwy i efekty na powierzchni płaszczyzn wody.\nWpływ na wydajność: [2B7C12]Niskie[-]\n,Camadas e efeitos que ocorrem na superfície dos planos aquáticos.\nImpacto no desempenho: [2B7C12]Baixo[-]\n,"Слои и эффекты, наложенные на водную поверхность.\nВлияние на производительность: [2B7C12]низкое[-]\n",Su düzlemlerinin yüzeyinde oluşan katman ve efektler.\nPerformansa Etkisi: [2B7C12]Düşük[-]\n,发生在水体表面的分层和效果。\n性能影响：[2B7C12]低[-]\n,水表面發生的分層和效果。\n性能影響:[2B7C12]低[-]\n,Capas y efectos que se producen en la superficie de los planos de agua.\nImpacto sobre el rendimiento: [2B7C12]Baja[-]\n
xuiOptionsVideoParticlesTooltip2,UI,Xui Video Options,x,,The amount of particles.\nPerformance Impact: [FF9018]Medium[-] to [FF0000]High[-],,Die Anzahl der Partikel.\nAuswirkung auf die Leistung: [FF9018]Mittel[-] bis [FF0000]Hoch[-],La cantidad de partículas.\nImpacto sobre el rendimiento: [FF9018]Medio[-] a [FF0000]alto[-],La quantité de particules.\nImpact sur la performance : [FF9018]moyen[-] à [FF0000]élevé[-],La quantità di particelle.\nImpatto sulle prestazioni: Da [FF9018]Medio[-] ad [FF0000]alto[-],パーティクルの量\nパフォーマンスへの影響:中から高,파티클의 양입니다.\n성능에 미치는 영향: 보통~높음,Ilość cząsteczek.\nWpływ na wydajność: średni–wysoki,A quantidade de partículas.\nImpacto no desempenho: [FF9018]médio[-] a [FF0000]alto[-],Количество частиц.\nВлияние на производительность: от [FF9018]среднего[-] к [FF0000]сильному[-],Parçacık miktarı.\nPerformansa Etkisi: [FF9018]Orta[-] ila [FF0000]Yüksek[-],粒子数量。\n性能影响：中到高,粒子的數量。\n性能影響：中至高,La cantidad de partículas.\nImpacto sobre el rendimiento: [FF9018]Medio[-] a [FF0000]alto[-]
xuiOptionsVideoViewDistanceTooltip2,UI,Xui Video Options,x,,How far the world can be viewed. Cannot be changed while in a game.\nPerformance Impact: [FF0000]High[-]\n,,Sichtweite in der Welt.\nKann nicht während des Spiels geändert werden\nAuswirkung auf die Leistung: [FF0000]Hoch[-]\n,Hasta dónde se puede ver el mundo\nNo se puede cambiar durante el juego.\nImpacto sobre el rendimiento: [FF0000]Alto[-]\n,La distance à laquelle vous pouvez voir le monde.\nNe peut être modifiée en cours de partie.\nImpact sur la performance : [FF0000]élevée[-]\n,Regola la distanza dell'orizzonte nel mondo di gioco.\nNon può essere cambiata mentre sei in una partita.\nImpatto sulle prestazioni: [FF0000]Alto[-]\n,どのくらい遠くまでワールドが見えるかを定めます。\nゲーム中は変更できません。\nパフォーマンスへの影響：[FF0000]高[-]\n,세계가 보이는 거리를 결정합니다.\n게임 중에는 변경할 수 없습니다.\n성능 영향: [FF0000]높음[-]\n,Określa granicę widoczności świata.\nNie można zmienić w grze.\nWpływ na wydajność: [FF0000]Wysokie[-]\n,A distância na qual o mundo pode ser visualizado.\nNão pode ser alterada durante um jogo.\nImpacto no desempenho: [FF0000]Alto[-]\n,Дальность видимости мира.\nНельзя изменить во время игры.\nВлияние на производительность: [FF0000]высокое[-]\n,Dünyanın görülebileceği mesafeyi belirtir.\nOyundayken değiştirilemez.\nPerformansa Etkisi: [FF0000]Yüksek[-]\n,可以看见的距离远近。\n游戏内无法进行更改。\n性能影响：[FF0000]高[-]\n,可看到的世界距離。\n遊戲中不可改變。\n性能影響：[FF0000]高[-]\n,Hasta dónde se puede ver el mundo\nNo se puede cambiar durante el juego.\nImpacto sobre el rendimiento: [FF0000]Alto[-]\n
